date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:14:03	29428/29428	---M--	200	added ('OK')	font/woff2	etag:%22322170a-72f4-577fe5a4dcd00%22	http://jessdesigntan.com/fonts/brandon-grotesque-black-58a8a3e824392.woff2	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/fonts/brandon-grotesque-black-58a8a3e824392.woff2	(from http://jessdesigntan.com/css/style.css)
19:14:06	42092/42092	---M--	200	added ('OK')	font/woff	etag:%223182248-a46c-548cf24e57180%22	http://jessdesigntan.com/css/brandon-grotesque-black-58a8a3e824392.woff	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/css/brandon-grotesque-black-58a8a3e824392.woff	(from http://jessdesigntan.com/css/style.css)
19:14:07	25472/25472	---M--	200	added ('OK')	font/woff2	etag:%22322170d-6380-56b18f8f8df00%22	http://jessdesigntan.com/fonts/lato-bold-webfont.woff2	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/fonts/lato-bold-webfont.woff2	(from http://jessdesigntan.com/css/style.css)
19:14:11	32452/32452	---M--	200	added ('OK')	font/woff	etag:%22322172e-7ec4-56b18f8f8df00%22	http://jessdesigntan.com/fonts/lato-bold-webfont.woff	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/fonts/lato-bold-webfont.woff	(from http://jessdesigntan.com/css/style.css)
19:14:16	24944/24944	---M--	200	added ('OK')	font/woff2	etag:%22322170f-6170-56b18f8f8df00%22	http://jessdesigntan.com/fonts/lato-light-webfont.woff2	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/fonts/lato-light-webfont.woff2	(from http://jessdesigntan.com/css/style.css)
19:14:19	121788/121788	---M--	200	added ('OK')	font/ttf	etag:%22322170e-1dbbc-56b18f8f8df00%22	http://jessdesigntan.com/fonts/Lato-Bold.ttf	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/fonts/Lato-Bold.ttf	(from http://jessdesigntan.com/css/style.css)
19:14:21	31792/31792	---M--	200	added ('OK')	font/woff	etag:%223221710-7c30-56b18f8f8df00%22	http://jessdesigntan.com/fonts/lato-light-webfont.woff	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/fonts/lato-light-webfont.woff	(from http://jessdesigntan.com/css/style.css)
19:14:23	257773/257773	---M--	200	added ('OK')	application/pdf	etag:%223181153-3eeed-58783b0fab919%22	http://jessdesigntan.com/images/jess_resume.pdf	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/jess_resume.pdf	(from http://jessdesigntan.com/)
19:14:26	25036/25036	---M--	200	added ('OK')	font/woff2	etag:%223221731-61cc-56b18f8f8df00%22	http://jessdesigntan.com/fonts/lato-regular-webfont.woff2	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/fonts/lato-regular-webfont.woff2	(from http://jessdesigntan.com/css/style.css)
19:14:26	885/885	---M--	200	added ('OK')	image/svg+xml	etag:%223182281-375-578098fbb2a40%22	http://jessdesigntan.com/images/arrow-btn.svg	C:/My%20Web%20Sites/my%20website2/jessdesigntan.com/images/arrow-btn.svg	(from http://jessdesigntan.com/css/style.css)
